id;category;title;link
100046250367;Ноутбуки страница 2;Ноутбук MSI Bravo 15 B5DD-415XRU Black (9S7-158K12-415);https://sbermegamarket.ru/catalog/details/noutbuk-msi-bravo-15-b5dd-415xru-black-9s7-158k12-415-100046250367/
100046571594;Ноутбуки страница 2;Ноутбук Lenovo V15 G2 ALC 82KD008NUK черный;https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-v15-g2-alc-82kd008nuk-chernyy-100046571594/
100039609350;Ноутбуки страница 2;Ноутбук Apple MacBook Pro 16 M1 Pro GPU 16-Core 16/1Tb Silver (MK1F3);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-16-m1-pro-gpu-16-core-16-1tb-silver-mk1f3-100039609350/
100038739366;Ноутбуки страница 3;Ноутбук Apple MacBook Air 13 M2 GPU 10-Core 2022 8/512GB Midnight (MLY43);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-air-13-m2-gpu-10-core-2022-8-512gb-midnight-mly43-100038739366/
100046571566;Ноутбуки страница 3;Ноутбук HUAWEI MateBook X Pro MRGF-X (53013GCT) Blue;https://sbermegamarket.ru/catalog/details/noutbuk-huawei-matebook-x-pro-mrgf-x-53013gct-belyy-100046571566/
600008552874;Ноутбуки страница 3;Ноутбук Chuwi Corebook Xpro 15.6 grey (888822);https://sbermegamarket.ru/catalog/details/noutbuk-chuwi-corebook-xpro-156-grey-888822-600008552874/
600009716585;Ноутбуки страница 3;Ноутбук Lenovo IdeaPad 3 15ALC6 серый (82KU009XRK);https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-ideapad-3-15alc6-seryy-82ku009xrk-600009716585/
100039609351;Ноутбуки страница 3;Ноутбук Apple MacBook Pro 16 M1 Pro GPU 16-Core 16/1Tb Space gray (MK193);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-16-m1-pro-gpu-16-core-16-1tb-space-gray-mk193-100039609351/
600005266399;Ноутбуки страница 3;Ноутбук Huawei MateBook B3-510 Gray (53012JEG);https://sbermegamarket.ru/catalog/details/noutbuk-huawei-matebook-b3-510-gray-53012jeg-600005266399/
100045185404;Ноутбуки страница 3;Ноутбук Lenovo IdeaPad 3 15IGL05/81WQ0024AK серый;https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-ideapad-3-15igl05-81wq0024ak-seryy-100045185404/
100028440889;Ноутбуки страница 3;Ноутбук Honor MagicBook X15 8+512GB Space Gray (BBR-WAH9)/(53011UGG-001);https://sbermegamarket.ru/catalog/details/noutbuk-honor-magicbook-x15-8512gb-space-gray-bbr-wah9-53011ugg-001-100028440889/
100045443494;Ноутбуки страница 3;Ноутбук MSI MSI Modern серый (9S7-14DL24-244);https://sbermegamarket.ru/catalog/details/noutbuk-msi-msi-modern-seryy-9s7-14dl24-244-100045443494/
600009241547;Ноутбуки страница 3;Ноутбук Lenovo Ideapad 3 grey (81W0004FUK);https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-ideapad-3-grey-81w0004fuk-600009241547/
600009568313;Ноутбуки страница 3;Ноутбук MSI A11MU-1064XRU gray (9s7-155266-1064);https://sbermegamarket.ru/catalog/details/noutbuk-msi-a11mu-1064xru-seryy-9s7-155266-1064-600009568313/
100046571559;Ноутбуки страница 3;Ноутбук HP 250 G7 197V0EA серый;https://sbermegamarket.ru/catalog/details/noutbuk-hp-250-g7-197v0ea-seryy-100046571559/
100032098078;Ноутбуки страница 3;Ноутбук DIGMA 14 C420 (ET4066EW);https://sbermegamarket.ru/catalog/details/noutbuk-digma-14-c420-et4066ew-100032098078/
100038739358;Ноутбуки страница 3;Ноутбук Apple MacBook Pro 16 M1 Pro GPU 16-Core 16/512GB Silver (MK1E3);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-16-m1-pro-gpu-16-core-16-512gb-silver-mk1e3-100038739358/
100039609348;Ноутбуки страница 3;Ноутбук Apple MacBook Pro 16 M1 Max GPU 32-Core 32/1Tb Silver (MK1H3);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-16-m1-max-gpu-32-core-32-1tb-silver-mk1h3-100039609348/
100047346095;Ноутбуки страница 3;Ноутбук Acer Nitro 5 AN515-57 Black (NH.QBWER.005);https://sbermegamarket.ru/catalog/details/noutbuk-acer-black-nhqbwer005-100047346095/
100048288522;Ноутбуки страница 3;Ноутбук ASUS A516JP-EJ461 серебристый (90NB0SS2-M005Y0);https://sbermegamarket.ru/catalog/details/noutbuk-asus-a516jp-ej461-serebristyy-90nb0ss2-m005y0-100048288522/
100030532683;Ноутбуки страница 3;Ультрабук Honor MagicBook X14 NBR-WAH9 Silver (5301ABDQ);https://sbermegamarket.ru/catalog/details/ultrabuk-honor-magicbook-x14-nbr-wah9-silver-5301abdq-100030532683/
100033352596;Ноутбуки страница 3;Ноутбук Apple MacBook Pro 13 M2 GPU 10-Core 2022 8/256GB Silver (MNEP3);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-13-2022-silver-mnep3zp-a-100033352596/
100047017125;Ноутбуки страница 3;NB Honor R5/16/512 Grey (HYM-W56);https://sbermegamarket.ru/catalog/details/nb-honor-r5-16-512-grey-hym-w56-100047017125/
100028447719;Ноутбуки страница 3;Ноутбук Lenovo IdeaPad 3 15ADA05 Grey (81W1006URU);https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-ideapad-3-15ada05-grey-81w1006uru-100028447719/
100039609349;Ноутбуки страница 3;Ноутбук Apple MacBook Pro 16 M1 Max GPU 32-Core 32/1Tb Space gray (MK1A3);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-16-m1-max-gpu-32-core-32-1tb-space-gray-mk1a3-100039609349/
100046571596;Ноутбуки страница 3;Ноутбук Lenovo V15 G2 ITL 82KB00N5UK черный;https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-v15-g2-itl-82kb00n5uk-chernyy-100046571596/
100046662028;Ноутбуки страница 3;Ноутбук DIGMA 14 C414 черный (NCN144BXW03);https://sbermegamarket.ru/catalog/details/noutbuk-digma-14-c414-chernyy-ncn144bxw03-100046662028/
100030019412;Ноутбуки страница 4;Ноутбук ASUS X515EA-BQ1461W (90NB0TY1-M25480);https://sbermegamarket.ru/catalog/details/noutbuk-asus-x515ea-bq1461w-90nb0ty1-m25480-100030019412/
100039609347;Ноутбуки страница 4;Ноутбук Apple MacBook Pro 14 M1 Pro GPU 16-Core 16/1Tb Space gray (MKGQ3);https://sbermegamarket.ru/catalog/details/noutbuk-apple-macbook-pro-14-m1-pro-gpu-16-core-16-1tb-space-gray-mkgq3-100039609347/
100047345914;Ноутбуки страница 4;Ноутбук Lenovo ThinkPad E15 Gen 4 Black  (21E6008UUE);https://sbermegamarket.ru/catalog/details/noutbuk-lenovo-thinkpad-e15-gen-4-21e6008uue-black-21e6008uue-100047345914/
